pdb_id,chain_id
1A9U,A
1AD5,A
1AD5,B
1AGW,A
1AGW,B
1AQ1,A
1ATP,E
1B38,A
1B39,A
1BKX,A
1BL6,A
1BL7,A
1BMK,A
1BX6,A
1BYG,A
1CDK,A
1CDK,B
1CKJ,A
1CKJ,B
1CKP,A
1CM8,A
1CM8,B
1CSN,A
1DAW,A
1DAY,A
1DI8,A
1DI9,A
1DM2,A
1DS5,A
1DS5,B
1DS5,C
1DS5,D
1E1V,A
1E1X,A
1E9H,A
1E9H,C
1EH4,A
1EH4,B
1F0Q,A
1FGI,A
1FGI,B
1FIN,A
1FIN,C
1FMO,E
1FPU,A
1FPU,B
1FQ1,B
1FVT,A
1FVV,A
1FVV,C
1G5S,A
1GIH,A
1GII,A
1GIJ,A
1GOL,A
1GY3,A
1GY3,C
1GZ8,A
1H00,A
1H01,A
1H07,A
1H08,A
1H0V,A
1H0W,A
1H1P,A
1H1P,C
1H1Q,A
1H1Q,C
1H1R,A
1H1R,C
1H1S,A
1H1S,C
1H1W,A
1HCK,A
1I44,A
1IEP,A
1IEP,B
1IG1,A
1IR3,A
1J1B,A
1J1B,B
1J1C,A
1J1C,B
1J91,A
1J91,B
1JBP,E
1JKK,A
1JKL,A
1JNK,A
1JPA,A
1JPA,B
1JQH,A
1JQH,B
1JQH,C
1JST,A
1JST,C
1JSV,A
1JVP,P
1JWH,A
1K3A,A
1KE5,A
1KE6,A
1KE7,A
1KE8,A
1KE9,A
1KSW,A
1KV1,A
1KV2,A
1L3R,E
1LP4,A
1M17,A
1M2P,A
1M2Q,A
1M2R,A
1M52,A
1M52,B
1M7Q,A
1MP8,A
1MQ4,A
1MQB,A
1MQB,B
1MRU,A
1MRU,B
1MUO,A
1NVQ,A
1NVR,A
1NVS,A
1NXK,A
1NXK,B
1NXK,C
1NXK,D
1NY3,A
1O6K,A
1O6L,A
1O6Y,A
1O9U,A
1OEC,A
1OGU,A
1OGU,C
1OI9,A
1OI9,C
1OIQ,A
1OIR,A
1OIT,A
1OIU,A
1OIU,C
1OIY,A
1OIY,C
1OKY,A
1OKZ,A
1OL5,A
1OL6,A
1OL7,A
1OM1,A
1OPJ,A
1OPJ,B
1OPK,A
1OPL,A
1OPL,B
1OUK,A
1OUY,A
1OVE,A
1OZ1,A
1P2A,A
1P4F,A
1P5E,A
1P5E,C
1PF8,A
1PHK,A
1PJK,A
1PKD,A
1PKD,C
1PKG,A
1PKG,B
1PME,A
1PMN,A
1PMU,A
1PMV,A
1PXI,A
1PXJ,A
1PXK,A
1PXL,A
1PXM,A
1PXN,A
1PXO,A
1PXP,A
1PY5,A
1PYE,A
1PYX,A
1PYX,B
1Q24,A
1Q3D,A
1Q3D,B
1Q3W,A
1Q3W,B
1Q41,A
1Q41,B
1Q4L,A
1Q4L,B
1Q5K,A
1Q5K,B
1Q8T,A
1Q8U,A
1Q8W,A
1Q8Y,A
1Q8Y,B
1Q97,A
1Q97,B
1Q99,A
1Q99,B
1QCF,A
1QL6,A
1QMZ,A
1QMZ,C
1QPC,A
1QPD,A
1QPE,A
1QPJ,A
1R0E,A
1R0E,B
1R0P,A
1R78,A
1RDQ,E
1RE8,A
1REJ,A
1REK,A
1RW8,A
1S9I,A
1S9I,B
1S9J,A
1SM2,A
1SM2,B
1SNU,A
1SNU,B
1STC,E
1SVE,A
1SVG,A
1SVH,A
1SZM,A
1SZM,B
1T46,A
1TVO,A
1U4D,A
1U4D,B
1U54,A
1U54,B
1U59,A
1U5R,A
1U5R,B
1UA2,A
1UA2,B
1UA2,C
1UA2,D
1UKI,A
1UNG,A
1UNG,B
1UNH,A
1UNH,B
1UNL,A
1URW,A
1UU3,A
1UU7,A
1UU8,A
1UU9,A
1UV5,A
1UVR,A
1UWH,A
1UWH,B
1UWJ,A
1UWJ,B
1V0O,A
1V0O,B
1V0P,A
1V0P,B
1V1K,A
1VEB,A
1VJY,A
1VYW,A
1VYW,C
1VYZ,A
1W0X,C
1W7H,A
1W82,A
1W83,A
1W84,A
1W8C,A
1WBN,A
1WBO,A
1WBP,A
1WBS,A
1WBT,A
1WBV,A
1WBW,A
1WCC,A
1WVX,A
1WVY,A
1WZY,A
1X8B,A
1XBB,A
1XBC,A
1XH4,A
1XH5,A
1XH6,A
1XH7,A
1XH8,A
1XH9,A
1XHA,A
1XJD,A
1XKK,A
1XO2,B
1XR1,A
1XWS,A
1Y57,A
1Y6A,A
1Y6B,A
1Y8Y,A
1Y91,A
1YDR,E
1YDS,E
1YDT,E
1YHS,A
1YI3,A
1YI4,A
1YKR,A
1YOL,A
1YOL,B
1YOM,A
1YOM,B
1YQJ,A
1YVJ,A
1YW2,A
1YWN,A
1YWR,A
1YXT,A
1YXU,A
1YXU,B
1YXU,C
1YXU,D
1YXV,A
1YXX,A
1Z57,A
1Z5M,A
1ZLT,A
1ZOE,A
1ZOG,A
1ZOH,A
1ZRZ,A
1ZY5,A
1ZY5,B
1ZYD,A
1ZYD,B
1ZYJ,A
1ZYS,A
1ZZ2,A
1ZZL,A
2A0C,X
2A19,B
2A19,C
2A4L,A
2ACX,A
2ACX,B
2AYP,A
2B1P,A
2B52,A
2B53,A
2B54,A
2B55,A
2B7A,A
2B7A,B
2B9F,A
2B9H,A
2B9I,A
2B9J,A
2BAJ,A
2BAK,A
2BAL,A
2BAQ,A
2BDF,A
2BDF,B
2BDJ,A
2BFY,A
2BFY,B
2BHE,A
2BHH,A
2BIK,B
2BIL,B
2BIY,A
2BKZ,A
2BKZ,C
2BMC,A
2BMC,B
2BMC,C
2BMC,D
2BMC,E
2BMC,F
2BPM,A
2BPM,C
2BR1,A
2BRB,A
2BRG,A
2BRH,A
2BRM,A
2BRN,A
2BRO,A
2BTR,A
2BTS,A
2BUJ,A
2BUJ,B
2BZH,B
2BZI,B
2BZJ,A
2BZK,B
2C0I,A
2C0I,B
2C0O,A
2C0O,B
2C0T,A
2C0T,B
2C1A,A
2C1B,A
2C3I,B
2C3J,A
2C3K,A
2C3L,A
2C47,A
2C47,B
2C47,C
2C47,D
2C4G,A
2C4G,C
2C5N,A
2C5N,C
2C5O,A
2C5O,C
2C5V,A
2C5V,C
2C5X,A
2C5X,C
2C5Y,A
2C68,A
2C69,A
2C6D,A
2C6E,A
2C6E,B
2C6I,A
2C6K,A
2C6L,A
2C6M,A
2C6O,A
2C6T,A
2C6T,C
2CCH,A
2CCH,C
2CCI,A
2CCI,C
2CDZ,A
2CGU,A
2CGV,A
2CGW,A
2CGX,A
2CHL,A
2CJM,A
2CJM,C
2CKE,A
2CKE,B
2CKE,C
2CKE,D
2CLQ,A
2CLQ,B
2CLX,A
2CMW,A
2CN5,A
2CN8,A
2CSN,A
2DQ7,X
2DS1,A
2DUV,A
2DWB,A
2E2B,A
2E2B,B
2E9N,A
2E9O,A
2E9P,A
2E9U,A
2E9V,A
2E9V,B
2EB3,A
2ERZ,E
2ESM,A
2ESM,B
2ETK,A
2ETK,B
2ETM,A
2ETM,B
2ETR,A
2ETR,B
2EUF,B
2EVA,A
2EWA,A
2EXC,X
2EXM,A
2F2C,B
2F2U,A
2F2U,B
2F4J,A
2F57,B
2F7E,E
2F7X,E
2F7Z,E
2F9G,A
2FB8,A
2FB8,B
2FGI,A
2FGI,B
2FO0,A
2FUM,A
2FUM,B
2FUM,C
2FUM,D
2FVD,A
2G01,A
2G01,B
2G2F,B
2G2H,A
2G2H,B
2G2I,A
2G2I,B
2G9X,A
2G9X,C
2GCD,A
2GCD,B
2GDO,A
2GFS,A
2GHG,A
2GHL,A
2GHM,A
2GMX,A
2GMX,B
2GNF,A
2GNH,A
2GNI,A
2GNJ,A
2GNL,A
2GQG,A
2GQG,B
2GS7,A
2GS7,B
2GTM,A
2GTN,A
2GU8,A
2H8H,A
2H96,A
2H96,B
2H9V,A
2HCK,A
2HCK,B
2HEN,A
2HEN,B
2HEN,C
2HEN,D
2HIW,A
2HIW,B
2HK5,A
2HOG,A
2HW7,A
2HWO,A
2HWO,B
2HWP,A
2HWP,B
2HXL,A
2HXQ,A
2HY0,A
2HY8,1
2HYY,A
2HYY,B
2HYY,C
2HYY,D
2HZ0,A
2HZ0,B
2HZ4,A
2HZ4,B
2HZ4,C
2HZI,A
2HZI,B
2HZN,A
2I0E,A
2I0E,B
2I0H,A
2I0V,A
2I0Y,A
2I1M,A
2I40,A
2I40,C
2IJM,A
2IJM,B
2IN6,A
2IO6,A
2ITN,A
2ITO,A
2ITP,A
2ITQ,A
2ITT,A
2ITU,A
2ITV,A
2ITW,A
2ITX,A
2ITY,A
2ITZ,A
2IVS,A
2IVS,B
2IVT,A
2IVU,A
2IVV,A
2IW6,A
2IW6,C
2IW8,A
2IW8,C
2IW9,A
2IW9,C
2IWI,A
2IWI,B
2IZR,A
2IZS,A
2IZT,A
2IZU,A
2J0J,A
2J0K,A
2J0K,B
2J0L,A
2J0M,B
2J2I,B
2J4Z,A
2J4Z,B
2J50,A
2J50,B
2J51,A
2J5F,A
2J6M,A
2J7T,A
2J90,A
2J90,B
2J9M,A
2JAM,A
2JAM,B
2JAV,A
2JBO,A
2JBP,A
2JBP,B
2JBP,C
2JBP,D
2JBP,E
2JBP,F
2JBP,G
2JBP,H
2JBP,I
2JBP,K
2JBP,L
2JC6,A
2JC6,C
2JDO,A
2JDR,A
2JDS,A
2JDT,A
2JDV,A
2JED,A
2JED,B
2JFL,A
2JIU,A
2JIV,A
2JIV,B
2JKK,A
2JKM,A
